aX,aY,aZ,gX,gY,gZ
-0.943,-1.786,-0.163,-80.444,55.786,34.241
-0.904,-1.957,-0.260,-63.843,52.063,28.320
-0.829,-2.006,-0.356,-42.847,46.448,19.653
-0.776,-1.964,-0.417,-22.339,41.199,6.714
-0.736,-1.874,-0.463,-3.967,41.504,-6.836
-0.682,-1.777,-0.476,12.817,50.232,-17.700
-0.619,-1.692,-0.466,27.832,64.758,-23.987
-0.589,-1.644,-0.435,39.368,81.177,-28.503
-0.586,-1.626,-0.367,47.424,96.375,-33.142
-0.589,-1.625,-0.283,54.871,109.253,-37.842
-0.596,-1.625,-0.186,63.599,120.178,-43.396
-0.614,-1.611,-0.089,73.486,129.272,-51.575
-0.636,-1.552,0.037,83.008,137.085,-62.805
-0.662,-1.472,0.174,91.187,142.517,-75.623
-0.674,-1.336,0.306,98.206,147.217,-89.111
-0.693,-1.176,0.437,105.713,153.625,-102.844
-0.736,-0.998,0.571,112.793,158.386,-114.136
-0.796,-0.817,0.696,118.835,159.058,-121.277
-0.856,-0.655,0.818,124.756,155.945,-122.742
-0.956,-0.484,0.994,132.690,148.560,-119.751
-1.104,-0.281,1.186,144.043,135.437,-114.258
-1.262,-0.046,1.367,158.142,118.774,-107.056
-1.380,0.199,1.544,171.692,97.839,-95.703
-1.474,0.406,1.724,180.908,74.280,-80.322
-1.536,0.575,1.877,180.725,52.490,-63.110
-1.605,0.667,2.011,166.809,34.424,-47.546
-1.679,0.736,2.097,140.320,22.644,-37.170
-1.800,0.795,2.144,105.713,14.282,-34.607
-1.904,0.827,2.155,68.176,8.118,-38.391
-2.007,0.851,2.125,32.227,0.977,-44.739
-2.067,0.857,2.093,2.014,-9.094,-49.805
-2.102,0.849,2.072,-19.409,-24.353,-51.819
-2.062,0.779,2.048,-32.288,-43.457,-47.180
-2.009,0.731,1.947,-36.560,-67.383,-31.555
-2.025,0.650,1.827,-37.231,-96.313,-23.315
-1.882,0.545,1.671,-35.583,-123.535,-19.531
-1.731,0.417,1.488,-33.813,-148.987,-16.479
-1.573,0.305,1.280,-33.447,-172.180,-13.062
-1.426,0.219,1.067,-35.339,-191.467,-9.216
-1.260,0.152,0.854,-38.879,-207.336,-7.568
-1.070,0.085,0.656,-43.335,-220.093,-8.118
-0.900,0.027,0.471,-47.363,-227.844,-9.888
-0.755,-0.015,0.298,-50.537,-230.286,-12.451
-0.635,-0.039,0.156,-53.223,-229.065,-15.198
-0.563,-0.048,0.014,-55.420,-223.694,-17.334
-0.503,-0.072,-0.137,-57.007,-216.248,-17.334
-0.439,-0.106,-0.270,-57.617,-207.886,-16.052
-0.380,-0.139,-0.401,-55.481,-200.439,-13.794
-0.338,-0.163,-0.522,-50.415,-193.481,-10.864
-0.294,-0.182,-0.606,-43.884,-185.608,-8.484
-0.246,-0.203,-0.716,-36.743,-177.185,-5.188
-0.197,-0.230,-0.803,-29.053,-168.579,-0.366
-0.138,-0.260,-0.875,-20.935,-158.997,5.371
-0.078,-0.278,-0.919,-11.719,-149.536,10.864
-0.032,-0.291,-0.953,0.793,-140.076,15.930
0.015,-0.302,-0.973,16.846,-129.883,21.362
0.066,-0.298,-0.971,33.508,-119.690,26.672
0.088,-0.284,-0.953,45.471,-109.192,29.175
0.102,-0.268,-0.944,50.537,-96.863,27.588
0.139,-0.241,-0.913,48.645,-83.862,23.071
0.171,-0.198,-0.898,43.274,-70.251,16.785
0.203,-0.172,-0.893,36.194,-56.213,8.545
0.254,-0.143,-0.891,27.527,-41.626,0.183
0.317,-0.114,-0.908,18.005,-26.672,-6.653
0.374,-0.081,-0.942,7.690,-12.634,-12.512
0.445,-0.035,-0.986,-3.052,0.549,-17.761
0.510,-0.003,-1.036,-14.343,15.625,-23.254
0.580,0.031,-1.075,-27.283,36.682,-28.381
0.628,0.067,-1.080,-43.335,64.941,-33.325
0.646,0.089,-1.023,-61.218,97.412,-38.757
0.650,0.091,-0.926,-75.500,129.761,-43.030
0.638,0.117,-0.797,-83.191,156.555,-42.969
0.645,0.160,-0.660,-81.726,175.354,-37.415
0.648,0.200,-0.555,-70.801,187.012,-25.574
0.650,0.248,-0.483,-54.626,193.787,-6.897
0.630,0.319,-0.420,-38.513,199.036,17.090
0.589,0.364,-0.345,-26.794,206.238,44.617
0.543,0.372,-0.232,-21.179,214.783,74.219
0.477,0.311,-0.062,-22.156,220.276,104.187
0.389,0.166,0.109,-25.635,226.685,128.418
0.203,0.024,0.288,-30.823,235.474,144.226
0.054,-0.149,0.477,-36.133,242.371,157.410
-0.178,-0.367,0.621,-38.757,248.291,166.565
-0.447,-0.639,0.810,-40.222,248.962,170.898
-0.723,-0.877,1.002,-37.964,245.056,167.969
-1.017,-1.031,1.208,-32.654,235.901,157.288
-1.238,-1.129,1.318,-26.550,225.891,141.541
-1.526,-1.119,1.431,-24.902,212.952,123.596
-1.709,-1.116,1.446,-27.283,203.125,103.943
-1.816,-1.178,1.477,-33.569,193.970,86.670
-1.899,-1.232,1.514,-43.213,176.880,70.129
-1.964,-1.256,1.532,-52.124,157.166,51.270
-1.974,-1.240,1.507,-58.044,138.123,30.273
-1.938,-1.160,1.451,-62.256,117.188,7.751
-1.880,-1.010,1.383,-65.369,93.628,-13.428
-1.786,-0.847,1.306,-64.819,69.519,-28.931
-1.683,-0.717,1.226,-59.082,45.837,-33.752
-1.622,-0.643,1.170,-48.889,20.813,-27.771
-1.562,-0.631,1.154,-33.813,0.671,-13.672
-1.529,-0.630,1.139,-14.404,-13.489,3.113
-1.476,-0.674,1.097,4.333,-23.560,19.775
-1.425,-0.696,1.038,16.907,-28.992,26.978
-1.359,-0.708,0.973,21.606,-30.823,26.855
-1.305,-0.688,0.897,19.043,-29.053,20.264
-1.242,-0.654,0.815,12.939,-23.437,9.338
-1.186,-0.620,0.737,5.615,-16.541,-2.136
-1.141,-0.568,0.673,-1.221,-11.536,-11.902
-1.087,-0.516,0.617,-6.653,-8.179,-19.043
-1.034,-0.473,0.575,-10.376,-6.775,-23.010
-0.991,-0.431,0.543,-12.512,-6.775,-24.170
-0.962,-0.400,0.517,-13.672,-8.362,-23.010
-0.937,-0.385,0.496,-13.916,-10.559,-19.653
-0.909,-0.387,0.473,-13.306,-12.817,-14.343
-0.888,-0.405,0.457,-11.963,-14.832,-8.484
-0.877,-0.424,0.431,-9.705,-16.968,-2.930
-0.870,-0.438,0.403,-7.324,-18.311,1.221
-0.855,-0.455,0.380,-5.188,-18.982,4.333
-0.844,-0.474,0.365,-3.296,-19.104,5.554
-0.840,-0.480,0.353,-1.343,-18.860,5.005

-1.210,-0.779,0.599,-78.735,63.843,144.104
-1.152,-0.954,0.556,-90.942,43.701,134.644
-1.107,-1.143,0.559,-101.379,34.363,125.366
-1.103,-1.324,0.553,-108.948,29.480,113.953
-1.087,-1.507,0.531,-114.197,25.024,99.121
-1.031,-1.659,0.490,-117.981,20.325,80.994
-0.991,-1.765,0.433,-120.850,16.785,58.594
-0.959,-1.814,0.361,-121.765,15.076,33.813
-0.936,-1.835,0.297,-120.789,16.052,8.484
-0.912,-1.812,0.217,-116.577,20.264,-14.648
-0.886,-1.784,0.139,-109.985,24.292,-32.288
-0.849,-1.797,0.029,-100.159,26.672,-43.030
-0.764,-1.839,-0.096,-85.144,27.222,-46.143
-0.638,-1.897,-0.199,-64.819,25.391,-42.419
-0.552,-1.976,-0.289,-41.077,25.146,-37.048
-0.435,-2.068,-0.366,-14.648,29.114,-32.532
-0.339,-2.128,-0.404,11.597,35.461,-32.837
